叶子类目名称,按订单量加权价格中位数,过滤后总订单量,过滤后样本行数 (1),过滤后样本行数
360全景/SVC,950,5,2,
3D眼镜,7.5,4,3,
3D立体果冻笔,9.8,6,1,
4g/5g上网设备,27.5635,2366,25,
AI设备,95.801653,163,10,
APP STORE充值,49.503311,534,2,
AV切换器,48,1,1,
BB煲,112.619375,35,7,
BB霜,36.75,269,81,
CC霜,23.485928,263,15,
CD播放机,198,15,8,
CD随身听,60,2,2,
CPU,846.45,4,3,
CPU主板套装,4119,3,3,
DHA/ARA/EPA,343.118182,60,17,
DIY/手工巧克力,19.771918,757,13,
DIY一体机,1700,6,5,
DIY仿真材料,19.9,127,52,
DIY兼容机,2973.76,169,58,
DIY工具,6.28642,110,17,
DIY模具,8.920392,5239,374,
DIY面膜工具,16.8,138,30,
DIY饰品套装,27.294101,2586,244,
EGT/麦角硫因,674,93,14,
HDMI线,24.21,37,16,
HID氙气灯,104,3,3,
HIV检测,15.647321,100,11,
IT/互联网,33.704889,1387,16,
IT类期刊订阅,12,1,1,
IT资格认证,32.50839,120,3,
KTV音响,134,14,8,
K歌/直播声卡套装,249.5,4,3,
LED,39.9,12,4,
LED光源,19.271471,1978,433,
LED射灯,109.666667,4,2,
LED设备,420,5,4,
MP3,164.169565,72,17,
MP3/MP4保护套,15.8,4,4,
MP3/MP4连接线,17.175,19,6,
MP4,80.5,6,5,
PC耐力板/阳光板,63.4,16,10,
PDA/掌上电脑,25.16,3,1,
PH计,39.6,10,6,
POP广告纸/爆炸贴,11.8,5,5,
PPR管,12.477778,196,95,
PVC管,15.167742,111,49,
RCA头,5,1,1,
T区护理,12.759259,1836,86,
T型棍/T型拐,22.727273,17,2,
T恤/Polo衫,38.587867,465641,56832,
UPS电源,21.8,2,1,
USB/快充插座,19.547778,102,35,
USB加湿器,51.440351,68,9,
USB吸尘器,19.341087,184,1,
USB多功能转换器,6.437695,356,50,
USB灯,21.60463,515,19,
USB烟灰缸,9.120192,116,9,
USB风扇,5.766257,5293,287,
USB驱蚊器,38.744545,27,4,
VGA切换器,18.9,1,1,
XR设备,1281.18898,64,4,
_条,19.124242,58,7,
_油用具,20.809009,523,95,
_饭/_面/_薯,47.276049,113,6,
ems微电流穿戴健身仪,364.5,34,5,
一体机,631.72,29,9,
一次性保鲜膜套/保鲜罩,12.704286,1018,61,
一次性勺子,9.59,50,29,
一次性叉子,7.434058,257,12,
一次性吸管,10.88678,122,21,
一次性塑杯,17.5575,1366,268,
一次性床品套件,17.915683,1152,56,
一次性手套,13.92349,3049,240,
一次性桌布,15.446154,303,96,
一次性毛巾/浴巾,18.130024,2237,170,
一次性汽车座椅保护套,12.552,11,4,
一次性汽车脚垫,40.466667,7,5,
一次性碗/碟/盘,17.9,133,45,
一次性筷子,10.234324,475,79,
一次性纸杯,16.847059,496,190,
一次性茶具,10.148854,192,27,
一次性袜子,19.8,3378,222,
一次性防护帽,8.996552,102,17,
一次性餐桌用品套装,10.947418,290,47,
